NAME_1,cl_1,cl_2,cl_3,cl_4,cl_5,cl_6,cl_7,cl_8,cl_9,cl_10,cl_11,cl_12,cl_13,cl_14,cl_15,cl_16,cl_17,cl_18,cl_19,cl_20,cl_21,cl_22,cl_23,cl_24,cl_25,cl_26,cl_27,cl_28,cl_29,cl_30,cl_31,cl_32,cl_33,cl_34,cl_35,cl_36,cl_37,cl_38,cl_39,cl_40,cl_41,cl_42,cl_43,cl_44,cl_45,cl_46,cl_47,cl_48,cl_49,cl_50,cl_51,cl_52,cl_53,cl_54,cl_55,cl_56,cl_57,cl_58,cl_59,cl_60,cl_61,cl_62,cl_63,cl_64,cl_65,cl_66,cl_67,cl_68,cl_69,cl_70,cl_71,cl_72,cl_73,cl_74,cl_75,cl_76,cl_77,cl_78,cl_79,cl_80,cl_81,cl_82,cl_83,cl_84,cl_85,cl_86,cl_87,cl_88,cl_89,cl_90,cl_91,cl_92,cl_93,cl_94,cl_95,cl_96,cl_97,cl_98,cl_99,cl_100,cl_101,cl_102,cl_103,cl_104,cl_105,cl_106,cl_107,cl_108,cl_109,cl_110,cl_111,cl_112,cl_113,cl_114,cl_115,cl_116,cl_117,cl_118,cl_119,cl_120,cl_121,cl_122,cl_123,cl_124,cl_125,cl_126,cl_127,cl_128,cl_129,cl_130,cl_131,cl_132,cl_133,cl_134,cl_135,cl_136,cl_137,cl_138,cl_139,cl_140,cl_141,cl_142,cl_143,cl_144,cl_145,cl_146,cl_147,cl_148,cl_149,cl_150,cl_151,cl_152,cl_153,cl_154,cl_155,cl_156,cl_157,cl_158,cl_159,cl_160,cl_161,cl_162,cl_163,cl_164,cl_165,cl_166,cl_167,cl_168,cl_169,cl_170,cl_171,cl_172,cl_173,cl_174,cl_175,cl_176,cl_177,cl_178,cl_179,cl_180,cl_181,cl_182,cl_183,cl_184,cl_185,cl_186,cl_187,cl_188,cl_189,cl_190,cl_191,cl_192,cl_193,cl_194,cl_195,cl_196,cl_197,cl_198,cl_199,cl_200,cl_201,cl_202,cl_203,cl_204,cl_205,cl_206,cl_207,cl_208,cl_209,cl_210,cl_211,cl_212,cl_213,cl_214,cl_215,cl_216,cl_217,cl_218,cl_219,cl_220,cl_221,cl_222,cl_223,cl_224,cl_225,cl_226,cl_227,cl_228,cl_229,cl_230,cl_231,cl_232,cl_233,cl_234,cl_235,cl_236,cl_237,cl_238,cl_239,cl_240,cl_241,cl_242,cl_243,cl_244,cl_245,cl_246,cl_247,cl_248,cl_249,cl_250,cl_251,cl_252,cl_253,cl_254,cl_255,cl_256,cl_257,cl_258,cl_259,cl_260,cl_261,cl_262,cl_263,cl_264,cl_265,cl_266,cl_267,cl_268,cl_269,cl_270,cl_271,cl_272,cl_273,cl_274,cl_275,cl_276,cl_277,cl_278,cl_279,cl_280,cl_281,cl_282,cl_283,cl_284,cl_285,cl_286,cl_287,cl_288,cl_289,cl_290,cl_291,cl_292,cl_293,cl_294,cl_295,cl_296,cl_297,cl_298,cl_299,cl_300,most_cl
Amnat Charoen,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH
Ang Thong,ns,ns,ns,ns,ns,ns,ns,LL,LL,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,ns,ns,LL,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,LL,LL,ns,ns,LL,ns,ns,ns,ns,LL,ns,ns,ns,LL,LL,ns,ns,LL,ns,ns,LL,ns,LL,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,LL,ns,LL,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns
Bangkok Metropolis,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,LL,LL,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,LL,LL,LL,ns,ns,ns,LL,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,LL,LL,ns,LL,ns,LL,ns,ns,ns,LL,LL,LL,LL,ns,LL,ns,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,LL,ns,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,LL,ns,LL,LL,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,LL,ns,LL,LL,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,LL,ns,ns,ns,LL,LL,ns,ns,ns,ns,LL,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,LL,LL,LL,ns,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,LL,ns,LL,LL,ns,ns,ns,LL,LL,LL,ns,LL,LL,LL,ns,LL,ns,LL,LL,LL,LL,LL,ns,ns,LL,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,LL,LL,ns,LL,ns,LL,LL,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,LL,ns,LL,ns,ns,LL,LL,LL,ns,ns,ns,LL,ns,ns,LL,ns,ns,LL,LL,ns,ns,ns,LL,ns,LL,LL,ns,ns,ns
Bueng Kan,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH
Buri Ram,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH
Chachoengsao,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,ns,LL,LL,ns,LL,LL,ns,LL,LL,LL,ns,LL,LL,LL,LL,ns,ns,LL,LL,LL,LL,LL,LL,ns,LL,ns,LL,LL,LL,LL,LL,ns,LL,LL,ns,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL,ns,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,ns,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,ns,LL,ns,LL,ns,ns,LL,LL,LL,LL,ns,LL,ns,ns,LL,LL,LL,ns,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,ns,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,ns,LL,ns,LL,ns,LL,ns,ns,LL,LL,LL,LL,ns,LL,ns,LL,LL,ns,ns,ns,LL,LL,ns,ns,LL,ns,LL,ns,LL,ns,LL,ns,LL,LL,LL,LL,ns,LL,LL,ns,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,ns,ns,ns,LL,ns,ns,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,ns,LL,LL,ns,LL,LL,LL,LL,LL,LL,LL,LL,LL,ns,LL,LL
Chai Nat,ns,ns,ns,LL,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,LL,LL,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,LL,ns,ns,LL,ns,ns,LL,ns,ns,LL,LL,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,ns,LL,ns,ns,LL,ns,LL,ns,LL,LL,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,LL,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns
Chaiyaphum,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,ns,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,ns,HH,HH,ns,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,ns,ns,HH,HH,HH,HH,HH,HH,ns,HH,ns,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,ns,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,ns,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,HH,ns,HH,ns,HH,HH,ns,HH,HH,HH,HH,HH,ns,HH,ns,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,ns,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH
Chanthaburi,ns,ns,ns,ns,LL,ns,LL,ns,LL,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,LL,LL,ns,ns,LL,ns,LL,ns,ns,ns,LL,ns,LL,LL,ns,LL,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,LL,LL,ns,LL,LL,ns,LL,LL,ns,LL,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,LL,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,LL,LL,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,LL,ns,ns,LL,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,LL,ns,LL,LL,LL,LL,ns,ns,LL,ns,LL,ns,LL,LL,LL,LL,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,LL,LL,ns,ns,ns,LL,LL,ns,ns,LL,ns,ns,LL,ns,ns,LL,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns
Chiang Mai,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,LL,ns,ns,LL,LL,ns,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,LL,LL,ns,ns,LL,ns,LL,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,LL,LL,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,ns,LL,ns,LL,ns,ns,ns,ns,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,LL,LL,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,ns,LL,LL,ns,ns,LL,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,ns,LL,ns,ns,LL,ns,LL,ns,ns
